#bfield(Gauss)	a12	a13	a23(a0)
1625	-2348.4	-2186.2	-2278.4
1626	-2347.9	-2186.1	-2278.1
1627	-2347.4	-2185.9	-2277.7
1628	-2346.9	-2185.8	-2277.4
1629	-2346.5	-2185.7	-2277.1
1630	-2346.0	-2185.5	-2276.7
1631	-2345.5	-2185.4	-2276.4
1632	-2345.0	-2185.2	-2276.0
1633	-2344.5	-2185.1	-2275.7
1634	-2344.1	-2185.0	-2275.4
1635	-2343.6	-2184.8	-2275.0
1636	-2343.1	-2184.7	-2274.7
1637	-2342.6	-2184.5	-2274.4
1638	-2342.2	-2184.4	-2274.0
1639	-2341.7	-2184.3	-2273.7
1640	-2341.2	-2184.1	-2273.4
1641	-2340.8	-2184.0	-2273.0
1642	-2340.3	-2183.9	-2272.7
1643	-2339.8	-2183.7	-2272.4
1644	-2339.4	-2183.6	-2272.1
1645	-2338.9	-2183.5	-2271.7
1646	-2338.5	-2183.3	-2271.4
1647	-2338.0	-2183.2	-2271.1
1648	-2337.5	-2183.1	-2270.8
1649	-2337.1	-2182.9	-2270.4
1650	-2336.6	-2182.8	-2270.1
1651	-2336.2	-2182.7	-2269.8
1652	-2335.7	-2182.5	-2269.5
1653	-2335.3	-2182.4	-2269.2
1654	-2334.8	-2182.3	-2268.9
1655	-2334.4	-2182.1	-2268.5
1656	-2333.9	-2182.0	-2268.2
1657	-2333.5	-2181.9	-2267.9
1658	-2333.0	-2181.7	-2267.6
1659	-2332.6	-2181.6	-2267.3
1660	-2332.2	-2181.5	-2267.0
1661	-2331.7	-2181.4	-2266.7
1662	-2331.3	-2181.2	-2266.4
1663	-2330.8	-2181.1	-2266.0
1664	-2330.4	-2181.0	-2265.7
1665	-2330.0	-2180.8	-2265.4
1666	-2329.5	-2180.7	-2265.1
1667	-2329.1	-2180.6	-2264.8
1668	-2328.7	-2180.5	-2264.5
1669	-2328.2	-2180.3	-2264.2
1670	-2327.8	-2180.2	-2263.9
1671	-2327.4	-2180.1	-2263.6
1672	-2327.0	-2180.0	-2263.3
1673	-2326.5	-2179.8	-2263.0
1674	-2326.1	-2179.7	-2262.7
1675	-2325.7	-2179.6	-2262.4
1676	-2325.3	-2179.5	-2262.1
1677	-2324.8	-2179.3	-2261.8
1678	-2324.4	-2179.2	-2261.5
1679	-2324.0	-2179.1	-2261.2
1680	-2323.6	-2179.0	-2260.9
1681	-2323.2	-2178.9	-2260.6
1682	-2322.8	-2178.7	-2260.3
1683	-2322.3	-2178.6	-2260.1
1684	-2321.9	-2178.5	-2259.8
1685	-2321.5	-2178.4	-2259.5
1686	-2321.1	-2178.2	-2259.2
1687	-2320.7	-2178.1	-2258.9
1688	-2320.3	-2178.0	-2258.6
1689	-2319.9	-2177.9	-2258.3
1690	-2319.5	-2177.8	-2258.0
1691	-2319.1	-2177.6	-2257.7
1692	-2318.7	-2177.5	-2257.5
1693	-2318.3	-2177.4	-2257.2
1694	-2317.9	-2177.3	-2256.9
1695	-2317.5	-2177.2	-2256.6
1696	-2317.1	-2177.1	-2256.3
1697	-2316.7	-2176.9	-2256.1
1698	-2316.3	-2176.8	-2255.8
1699	-2315.9	-2176.7	-2255.5
1700	-2315.5	-2176.6	-2255.2
1701	-2315.1	-2176.5	-2254.9
1702	-2314.7	-2176.4	-2254.7
1703	-2314.3	-2176.2	-2254.4
1704	-2313.9	-2176.1	-2254.1
1705	-2313.5	-2176.0	-2253.8
1706	-2313.1	-2175.9	-2253.6
1707	-2312.8	-2175.8	-2253.3
1708	-2312.4	-2175.7	-2253.0
1709	-2312.0	-2175.6	-2252.7
1710	-2311.6	-2175.4	-2252.5
1711	-2311.2	-2175.3	-2252.2
1712	-2310.8	-2175.2	-2251.9
1713	-2310.5	-2175.1	-2251.7
1714	-2310.1	-2175.0	-2251.4
