#fcpow	depth(uK)	freqAx(Hz)	freqRd(Hz)	freqRdZ(Hz)
4.46	217.89716542493716	583.5652504133127	4430.169122109294	4468.396134334535
4.48	218.8742827586813	584.8722290950298	4440.0911258524875	4478.403752993984
4.5	219.8514000924254	586.1762936550962	4449.991006873764	4488.38905803913
4.5200000000000005	220.82851742616953	587.4774634995474	4459.868912495157	4498.352198063215
4.54	221.8056347599136	588.775757819986	4469.72498841082	4508.2933200175585
4.5600000000000005	222.7827520936578	590.0711955968833	4479.559378712093	4518.212569236835
4.58	223.7598694274018	591.3637956028182	4489.372225912086	4528.11008946387
4.6000000000000005	224.73698676114603	592.6535764056507	4499.163670969773	4537.986022873944
4.62	225.71410409489008	593.940556371633	4508.933853313616	4547.840510098618
4.64	226.69122142863418	595.2247536684621	4518.682910864728	4557.673690249098
4.66	227.6683387623783	596.5061862682717	4528.410980059595	4567.485700939152
4.68	228.6454560961224	597.784871950566	4538.118195872345	4577.276678307572
4.7	229.62257342986652	599.0608283050989	4547.804691836604	4587.046757040217
4.72	230.59969076361065	600.3340727346964	4557.470600066927	4596.796070391633
4.74	231.57680809735476	601.6046224580263	4567.116051279819	4606.524750206248
4.76	232.55392543109886	602.8724945123146	4576.74117481436	4616.232926939185
4.78	233.531042764843	604.1377057560118	4586.346098652445	4625.920729676665
4.8	234.50816009858707	605.4002728714069	4595.930949438629	4635.588286156038
4.82	235.48527743233123	606.6602123671953	4605.495852499623	4645.235722785428
4.84	236.4623947660753	607.917540580996	4615.040931863399	4654.86316466302
4.86	237.43951209981944	609.1722736818244	4624.566310277965	4664.470735595992
4.88	238.41662943356354	610.4244276725171	4634.072109229778	4674.058558119078
4.9	239.39374676730768	611.6740183921145	4643.5584489618195	4683.626753512814
4.92	240.37086410105175	612.9210615181968	4653.025448491343	4693.175441821427
4.94	241.34798143479588	614.165572569181	4662.473225627298	4702.70474187042
4.96	242.32509876854	615.4075669065716	4671.901896987435	4712.214771283809
4.98	243.30221610228415	616.6470597371749	4681.311578015094	4721.705646501071
5.	244.27933343602822	617.8840661152701	4690.702382995698	4731.177482793778
5.0200000000000005	245.25645076977236	619.1186009447432	4700.074425072958	4740.63039428193
5.04	246.23356810351646	620.3506789811813	4709.427816264759	4750.064493949996
5.0600000000000005	247.21068543726062	621.5803148339314	4718.762667478799	4759.4798936626685
5.08	248.18780277100467	622.8075229681203	4728.079088527918	4768.876704180345
5.1000000000000005	249.16492010474883	624.0323177066412	4737.377188145183	4778.255035174324
5.12	250.1420374384929	625.2547132321026	4746.657073998681	4787.614995241738
5.14	251.11915477223704	626.4747235887457	4755.918852706077	4796.956691920235
5.16	252.09627210598111	627.6923626843263	4765.162629848896	4806.2802317023825
5.18	253.07338943972525	628.9076442919647	4774.388509986574	4815.585720049835
5.2	254.05050677346938	630.1205820519634	4783.596596670249	4824.873261407253
5.22	255.02762410721348	631.3311894735929	4792.786992456326	4834.142959215981
5.24	256.00474144095756	632.539479936848	4801.959798919803	4843.394915927486
5.26	256.98185877470166	633.7454666941727	4811.11511666737	4852.629233016572
5.28	257.9589761084458	634.9491628721557	4820.25304535028	4861.846010994362
5.3	258.93609344218993	636.150581473198	4829.373683677007	4871.045349421063
5.32	259.9132107759341	637.349735377151	4838.477129425682	4880.227346918517
5.34	260.8903281096782	638.5466373429282	4847.563479456329	4889.3921011825305
5.36	261.8674454434223	639.7413000100881	4856.632829722885	4898.539708995009
5.38	262.8445627771664	640.9337359003927	4865.685275285023	4907.670266235873
5.4	263.8216801109105	642.1239574193371	4874.720910319775	4916.783867894791
5.42	264.7987974446546	643.3119768576576	4883.739828132967	4925.880608082704
5.44	265.7759147783987	644.4978063928098	4892.742121170457	4934.96058004317
5.46	266.7530321121428	645.6814580904273	4901.727881029193	4944.023876163504
5.48	267.7301494458869	646.8629439057527	4910.697198468086	4953.070587985758
5.5	268.7072667796311	648.0422756850462	4919.650163418704	4962.1008062175
5.5200000000000005	269.6843841133752	649.2194651669728	4928.586864995792	4971.114620742428
5.54	270.6615014471193	650.3945239839636	4937.507391507623	4980.112120630811
5.5600000000000005	271.6386187808634	651.5674636635589	4946.41183046618	4989.093394149752
5.58	272.6157361146075	652.738295629726	4955.300268597166	4998.058528773295
5.6000000000000005	273.5928534483516	653.9070312041584	4964.172791849867	5007.007611192363
5.62	274.5699707820957	655.0736816075522	4973.029485406845	5015.94072732454
5.64	275.5470881158398	656.238257960864	4981.870433693478	5024.857962323692
5.66	276.524205449584	657.4007712865463	4990.69572038735	5033.759400589444
5.68	277.501322783328	658.5612325097662	4999.505428427493	5042.6451257764875
5.7	278.4784401170722	659.7196524596028	5008.2996400234815	5051.515220803769
5.72	279.4555574508163	660.8760418702251	5017.07843666438	5060.3697678635035
5.74	280.43267478456045	662.0304113820545	5025.841899127555	5069.208848430069
5.76	281.40979211830444	663.1827715429048	5034.5901074873445	5078.03254326875
5.78	282.3869094520486	664.333132809109	5043.323141123598	5086.8409324443455
5.8	283.3640267857927	665.4815055466242	5052.041078730077	5095.634095329652
5.82	284.34114411953686	666.6279000321231	5060.7439983227305	5104.4121106138
5.84	285.31826145328097	667.7723264540654	5069.431977247836	5113.175056310472
5.86	286.29537878702513	668.9147949137555	5078.105092190026	5121.923009765999
5.88	287.2724961207692	670.0553154263819	5086.763419180179	5130.656047667312
5.9	288.2496134545133	671.1938979220421	5095.407033603204	5139.374246049799
5.92	289.2267307882574	672.3305522467509	5104.036010205685	5148.077680305021
5.94	290.20384812200155	673.4652881634345	5112.650423103435	5156.766425188319
5.96	291.18096545574565	674.5981153529073	5121.250345788917	5165.440554826305
5.98	292.1580827894898	675.7290434148372	5129.835851138559	5174.100142724246
6.	293.1352001232339	676.8580818686938	5138.407011419963	5182.745261773324
6.0200000000000005	294.112317456978	677.9852401546837	5146.963898298996	5191.375984257798
6.04	295.0894347907221	679.1105276346705	5155.506582846788	5199.9923818620555
6.0600000000000005	296.0665521244662	680.2339535930834	5164.035135546614	5208.594525677554
6.08	297.04366945821033	681.3555272378097	5172.54962630068	5217.182486209675
6.1000000000000005	298.02078679195444	682.4752577010761	5181.050124436808	5225.756333384454
6.12	298.9979041256986	683.5931540403157	5189.536698715024	5234.316136555235
6.140000000000001	299.9750214594427	684.7092252390232	5198.009417334042	5242.861964509204
6.16	300.95213879318686	685.8234802075967	5206.468347937665	5251.393885473844
6.18	301.9292561269308	686.9359277841684	5214.9135576210765	5259.911967123296
6.2	302.906373460675	688.046576735422	5223.3451129370615	5268.4162765846095
6.22	303.8834907944191	689.1554357573983	5231.763079902114	5276.906880443923
6.24	304.8606081281633	690.2625134762906	5240.167524002475	5285.383844752546
6.26	305.8377254619073	691.3678184492265	5248.558510200071	5293.847235032947
6.28	306.8148427956515	692.4713591650411	5256.936102938379	5302.2971162846725
6.3	307.7919601293956	693.5731440450356	5265.300366148195	5310.733552990165
6.32	308.76907746313975	694.6731814437293	5273.651363253329	5319.156609120502
6.34	309.74619479688374	695.7714796495966	5281.98915717621	5327.566348141062
6.36	310.72331213062796	696.8680468857972	5290.31381034343	5335.9628330171
6.38	311.700429464372	697.9628913108934	5298.625384691182	5344.346126219246
6.4	312.67754679811617	699.0560210195594	5306.923941670651	5352.716289728929
6.42	313.6546641318602	700.147444043278	5315.209542253298	5361.073385043727
6.44	314.6317814656044	701.2371683510307	5323.482246936104	5369.417473182635
6.46	315.6088987993485	702.325201849975	5331.742115746713	5377.748614691261
6.48	316.5860161330926	703.4115523861154	5339.989208248516	5386.066869646956
6.5	317.5631334668367	704.496227744962	5348.2235835456595	5394.3722976638655
6.5200000000000005	318.54025080058085	705.5792356521825	5356.445300287995	5402.664957897918
6.54	319.51736813432495	706.6605837742434	5364.654416675943	5410.9449090517355
6.5600000000000005	320.4944854680691	707.7402797190443	5372.850990465312	5419.212209379484
6.58	321.47160280181316	708.818331036541	5381.035078972023	5427.466916691658
6.6000000000000005	322.4487201355573	709.8947452193629	5389.2067390768025	5435.709088359791
6.62	323.42583746930137	710.969529703419	5397.36602722978	5443.938781321113
6.640000000000001	324.40295480304553	712.0426918684984	5405.512999455052	5452.156052083137
6.66	325.3800721367896	713.114239038861	5413.647711355155	5460.3609567281865
6.68	326.35718947053374	714.184178483821	5421.770218115507	5468.553550917861
6.7	327.33430680427784	715.2525174183219	5429.880574508766	5476.7338898974385
6.72	328.311424138022	716.3192630035044	5437.978834899141	5484.902028500228
6.74	329.28854147176605	717.3844223472657	5446.065053246644	5493.058021151851
